"","type","year","Value"
"Early_RecrDev_1965","Early","1965",0.334813
"Early_RecrDev_1966","Early","1966",0.0568433
"Early_RecrDev_1967","Early","1967",0.579902
"Early_RecrDev_1968","Early","1968",0.125509
"Early_RecrDev_1969","Early","1969",-0.00413085
"Early_RecrDev_1970","Early","1970",-0.305255
"Early_RecrDev_1971","Early","1971",-0.0888815
"Early_RecrDev_1972","Early","1972",0.230821
"Early_RecrDev_1973","Early","1973",-0.0877635
"Early_RecrDev_1974","Early","1974",0.157728
"Early_RecrDev_1975","Early","1975",0.010994
"Early_RecrDev_1976","Early","1976",0.194422
"Early_RecrDev_1977","Early","1977",-0.0986221
"Early_RecrDev_1978","Early","1978",0.183635
"Early_RecrDev_1979","Early","1979",0.15698
"Early_RecrDev_1980","Early","1980",-0.188059
"Early_RecrDev_1981","Early","1981",0.182643
"Early_RecrDev_1982","Early","1982",0.11004
"Early_RecrDev_1983","Early","1983",0.325104
"Early_RecrDev_1984","Early","1984",0.367738
"Early_RecrDev_1985","Early","1985",0.25941
"Early_RecrDev_1986","Early","1986",0.0152078
"Early_RecrDev_1987","Early","1987",-0.20332
"Early_RecrDev_1988","Early","1988",-0.222343
"Early_RecrDev_1989","Early","1989",-0.109038
"Early_RecrDev_1990","Early","1990",-0.0945843
"Early_RecrDev_1991","Early","1991",0.0467915
"Early_RecrDev_1992","Early","1992",0.080186
"Early_RecrDev_1993","Early","1993",0.0322907
"Early_RecrDev_1994","Early","1994",-0.221095
"Early_RecrDev_1995","Early","1995",-0.0165527
"Main_RecrDev_1996","Main","1996",-0.264723
"Main_RecrDev_1997","Main","1997",-0.113671
"Main_RecrDev_1998","Main","1998",-0.332944
"Main_RecrDev_1999","Main","1999",-0.691772
"Main_RecrDev_2000","Main","2000",-0.237427
"Main_RecrDev_2001","Main","2001",-0.167831
"Main_RecrDev_2002","Main","2002",-0.0404714
"Main_RecrDev_2003","Main","2003",-0.263638
"Main_RecrDev_2004","Main","2004",-0.10714
"Main_RecrDev_2005","Main","2005",-0.300399
"Main_RecrDev_2006","Main","2006",-0.05211
"Main_RecrDev_2007","Main","2007",0.069845
"Main_RecrDev_2008","Main","2008",0.0487855
"Main_RecrDev_2009","Main","2009",0.0641028
"Main_RecrDev_2010","Main","2010",0.0387388
"Main_RecrDev_2011","Main","2011",0.172758
"Main_RecrDev_2012","Main","2012",-0.0724634
"Main_RecrDev_2013","Main","2013",0.0843271
"Main_RecrDev_2014","Main","2014",0.32905
"Main_RecrDev_2015","Main","2015",-0.0567497
"Main_RecrDev_2016","Main","2016",-0.460123
"Main_RecrDev_2017","Main","2017",0.282273
"Main_RecrDev_2018","Main","2018",0.112889
"Main_RecrDev_2019","Main","2019",0.389128
"Main_RecrDev_2020","Main","2020",-0.105158
"Main_RecrDev_2021","Main","2021",0.737209
"Main_RecrDev_2022","Main","2022",0.625828
"Main_RecrDev_2023","Main","2023",0.311688
