Yr,FRS,Noncomm
1948,0.011,0.022
1949,0.011,0.022
1950,0.011,0.022
1951,0.011,0.022
1952,0.011,0.022
1953,0.011,0.022
1954,0.011,0.022
1955,0.011,0.022
1956,0.011,0.022
1957,0.011,0.022
1958,0.011,0.022
1959,0.011,0.022
1960,0.011,0.022
1961,0.011,0.022
1962,0.011,0.022
1963,0.011,0.022
1964,0.011,0.022
1965,0.011,0.022
1966,0.011,0.022
1967,0.011,0.022
1968,0.011,0.022
1969,0.011,0.022
1970,0.011,0.022
1971,0.013,0.026
1972,0.016,0.03
1973,0.019,0.032
1974,0.022,0.034
1975,0.024,0.04
1976,0.027,0.044
1977,0.029,0.046
1978,0.03,0.047
1979,0.032,0.049
1980,0.035,0.053
1981,0.035,0.053
1982,0.035,0.053
1983,0.035,0.053
1984,0.035,0.053
1985,0.035,0.053
1986,0.035,0.053
1987,0.035,0.053
1988,0.035,0.053
1989,0.035,0.053
1990,0.035,0.053
1991,0.035,0.053
1992,0.035,0.053
1993,0.035,0.053
1994,0.035,0.053
1995,0.035,0.053
1996,0.035,0.053
1997,0.035,0.053
1998,0.035,0.053
1999,0.035,0.053
2000,0.035,0.053
2001,0.033,0.04
2002,0.031,0.031
2003,0.029,0.029
2004,0.028,0.028
2005,0.026,0.026
2006,0.025,0.025
2007,0.023,0.023
2008,0.021,0.021
2009,0.019,0.019
2010,0.018,0.018
2011,0.016,0.017
2012,0.016,0.017
2013,0.016,0.017
2014,0.016,0.017
2015,0.016,0.017
2016,0.016,0.017
2017,0.016,0.017
2018,0.016,0.017
2019,0.016,0.017
2020,0.016,0.017
2021,0.016,0.017
2022,0.016,0.017
2023,0.016,0.017
2024,0.016,0.017
2025,0.016,0.017
2026,0.016,0.017
2027,0.016,0.017
2028,0.016,0.017
2029,0.016,0.017
2030,0.016,0.017
2031,0.016,0.017
2032,0.016,0.017
2033,0.016,0.017
2034,0.016,0.017
2035,0.016,0.017
2036,0.016,0.017
2037,0.016,0.017
2038,0.016,0.017
2039,0.016,0.017
2040,0.016,0.017
2041,0.016,0.017
2042,0.016,0.017
2043,0.016,0.017
2044,0.016,0.017
2045,0.016,0.017
2046,0.016,0.017
2047,0.016,0.017
2048,0.016,0.017
