"","scenario","iteration","SpawnBio_om","SSB_MSY_om","F_MSY_om","annual_F_om","bmsst_om","ssb_ssbmsst_om","F_Fmsy_om","SpawnBio_em","SSB_MSY_em","F_MSY_em","annual_F_em","bmsst_em","ssb_ssbmsst_em","F_Fmsy_em","ID","species","annual_F_re","bmsst_re","F_Fmsy_re","F_MSY_re","SpawnBio_re","SSB_MSY_re","ssb_ssbmsst_re"
"1","FRSonly_poorrec_25_yrfwd",1,2159,1307.79,0.139594,0.033,1131.23835,1.90852794196731,0.236399845265556,3370.09,1301.54,0.139684,0.035,1125.8321,2.99342148798209,0.250565562269122,"FRSonly_poorrec_25_yrfwd-1","FRSonly_poorrec_25_yrfwd",0.0606060606060607,-0.00477905474120463,0.0599226999816902,0.000644726850724291,0.560949513663733,-0.00477905474120463,0.56844519912895
"2","FRSonly_poorrec_25_yrfwd",10,2135.62,1307.79,0.139594,0.036,1131.23835,1.88786032581021,0.257890740289697,2409.13,1288.7,0.139702,0.032,1114.7255,2.16118676750465,0.229058997007917,"FRSonly_poorrec_25_yrfwd-10","FRSonly_poorrec_25_yrfwd",-0.111111111111111,-0.0145971448015353,-0.111798288102135,0.00077367222086907,0.128070536893268,-0.0145971448015354,0.144781071966824
"3","FRSonly_poorrec_25_yrfwd",100,2147.45,1307.79,0.139594,0.038,1131.23835,1.89831789206934,0.272218003639125,3158.79,1290.26,0.139574,0.033,1116.0749,2.83026703673741,0.236433719747231,"FRSonly_poorrec_25_yrfwd-100","FRSonly_poorrec_25_yrfwd",-0.131578947368421,-0.0134042927381306,-0.131454508568554,-0.000143272633494221,0.470949265407809,-0.0134042927381307,0.490934183658858
"4","FRSonly_poorrec_25_yrfwd",103,2211.4,1307.79,0.139594,0.041,1131.23835,1.95484886098496,0.293708898663266,3312.97,1320.76,0.139682,0.035,1142.4574,2.89986304959817,0.250569149926261,"FRSonly_poorrec_25_yrfwd-103","FRSonly_poorrec_25_yrfwd",-0.146341463414634,0.00991749439894798,-0.146879270370573,0.00063039958737485,0.498132404811432,0.00991749439894786,0.48342058942453
"5","FRSonly_poorrec_25_yrfwd",104,2172.22,1307.79,0.139594,0.036,1131.23835,1.92021425016222,0.257890740289697,2860.14,1308.96,0.139703,0.029,1132.2504,2.52606667217781,0.207583230138222,"FRSonly_poorrec_25_yrfwd-104","FRSonly_poorrec_25_yrfwd",-0.194444444444444,0.000894639047553747,-0.195072960335696,0.000780835852543791,0.31668983804587,0.000894639047553562,0.315512928812193
"6","FRSonly_poorrec_25_yrfwd",106,2127.07,1307.79,0.139594,0.035,1131.23835,1.88030223692469,0.250727108614983,3333.52,1312.01,0.139623,0.036,1134.88865,2.93731019338329,0.257837175823467,"FRSonly_poorrec_25_yrfwd-106","FRSonly_poorrec_25_yrfwd",0.0285714285714284,0.00322681776126138,0.0283577920543176,0.00020774531856671,0.567188667979897,0.00322681776126139,0.562147901385988
"7","FRSonly_poorrec_25_yrfwd",107,2072.77,1307.79,0.139594,0.035,1131.23835,1.83230174259916,0.250727108614983,2936.41,1317.38,0.139697,0.033,1139.5337,2.57685226860776,0.2362255452873,"FRSonly_poorrec_25_yrfwd-107","FRSonly_poorrec_25_yrfwd",-0.0571428571428572,0.00733298159490467,-0.0578380351761311,0.000737854062495465,0.416659832012235,0.00733298159490449,0.406347114505518
"8","FRSonly_poorrec_25_yrfwd",108,2279.73,1307.79,0.139594,0.033,1131.23835,2.01525169297876,0.236399845265556,3979.53,1295.63,0.139761,0.033,1120.71995,3.55086924257929,0.236117371799,"FRSonly_poorrec_25_yrfwd-108","FRSonly_poorrec_25_yrfwd",0,-0.00929812890448746,-0.00119489700274039,0.00119632648967721,0.745614612256715,-0.00929812890448761,0.761997895821499
"9","FRSonly_poorrec_25_yrfwd",11,2158.28,1307.79,0.139594,0.031,1131.23835,1.90789147132432,0.222072581916128,2999.21,1321.02,0.139616,0.041,1142.6823,2.6247102978667,0.293662617465047,"FRSonly_poorrec_25_yrfwd-11","FRSonly_poorrec_25_yrfwd",0.32258064516129,0.010116303076182,0.322372239432767,0.000157599896843663,0.389629705135571,0.010116303076182,0.375712579733273
"10","FRSonly_poorrec_25_yrfwd",110,2305.9,1307.79,0.139594,0.036,1131.23835,2.03838563287746,0.257890740289697,3380.36,1303.71,0.13966,0.046,1127.70915,2.99754595411414,0.329371330373765,"FRSonly_poorrec_25_yrfwd-110","FRSonly_poorrec_25_yrfwd",0.277777777777778,-0.00311976693505833,0.277173930338759,0.000472799690531187,0.465961229888547,-0.00311976693505833,0.47054900003524
"11","FRSonly_poorrec_25_yrfwd",111,2145.84,1307.79,0.139594,0.036,1131.23835,1.89689467299265,0.257890740289697,3183.86,1302,0.139617,0.029,1126.23,2.82700691688199,0.207711095353718,"FRSonly_poorrec_25_yrfwd-111","FRSonly_poorrec_25_yrfwd",-0.194444444444444,-0.00442731631225182,-0.194577148755365,0.000164763528518384,0.483735972859113,-0.00442731631225194,0.490334153567911
"12","FRSonly_poorrec_25_yrfwd",112,2324.48,1307.79,0.139594,0.035,1131.23835,2.05481011141463,0.250727108614983,3736.87,0,0,0.031,0,Inf,Inf,"FRSonly_poorrec_25_yrfwd-112","FRSonly_poorrec_25_yrfwd",-0.114285714285714,-1,NA,-1,0.607615466685022,-1,NA
"13","FRSonly_poorrec_25_yrfwd",114,2066.81,1307.79,0.139594,0.03,1131.23835,1.82703318005441,0.214908950241414,2182.48,1312.67,0.139556,0.056,1135.45955,1.92211162431986,0.401272607412078,"FRSonly_poorrec_25_yrfwd-114","FRSonly_poorrec_25_yrfwd",0.866666666666667,0.00373148594193273,0.867174945302722,-0.000272218003638999,0.0559654733623314,0.00373148594193266,0.0520398016321872
"14","FRSonly_poorrec_25_yrfwd",115,2315.2,1307.79,0.139594,0.028,1131.23835,2.04660671201608,0.200581686891987,2717.06,1317.13,0.139522,0.037,1139.31745,2.38481381988839,0.265191152649761,"FRSonly_poorrec_25_yrfwd-115","FRSonly_poorrec_25_yrfwd",0.321428571428571,0.00714181940525633,0.322110491535385,-0.000515781480579314,0.173574637180373,0.00714181940525631,0.165252613453585
"15","FRSonly_poorrec_25_yrfwd",116,2106,1307.79,0.139594,0.037,1131.23835,1.86167663074718,0.265054371964411,3761.3,1316.98,0.139676,0.027,1139.1877,3.30173859847679,0.193304504710902,"FRSonly_poorrec_25_yrfwd-116","FRSonly_poorrec_25_yrfwd",-0.27027027027027,0.00702712209146737,-0.270698674848278,0.000587417797326524,0.785992402659069,0.00702712209146733,0.773529593671509
"16","FRSonly_poorrec_25_yrfwd",117,2421.37,1307.79,0.139594,0.035,1131.23835,2.14045961224706,0.250727108614983,2410.32,1331.55,0.139719,0.035,1151.79075,2.09267178087687,0.250502794895469,"FRSonly_poorrec_25_yrfwd-117","FRSonly_poorrec_25_yrfwd",0,0.0181680545041635,-0.000894652838912436,0.000895453959339327,-0.00456353221523341,0.0181680545041635,-0.0223259673281213
"17","FRSonly_poorrec_25_yrfwd",118,2182.92,1307.79,0.139594,0.028,1131.23835,1.92967291110667,0.200581686891987,2945.13,1298.69,0.139597,0.035,1123.36685,2.62169922496823,0.25072172038081,"FRSonly_poorrec_25_yrfwd-118","FRSonly_poorrec_25_yrfwd",0.25,-0.00695830370319371,0.249973136958531,2.14908950241629e-05,0.349169919190809,-0.00695830370319387,0.358623635061906
"18","FRSonly_poorrec_25_yrfwd",12,2161.05,1307.79,0.139594,0.031,1131.23835,1.91034011532583,0.222072581916128,3433.87,1290.21,0.139644,0.034,1116.03165,3.07685718411301,0.243476268224915,"FRSonly_poorrec_25_yrfwd-12","FRSonly_poorrec_25_yrfwd",0.0967741935483872,-0.0134425251760601,0.09638148988996,0.000358181583735651,0.588982207723097,-0.0134425251760603,0.610633184859975
"19","FRSonly_poorrec_25_yrfwd",120,2214.36,1307.79,0.139594,0.04,1131.23835,1.95746546251725,0.286545266988553,2458.06,1310.14,0.139664,0.036,1133.2711,2.16899557396284,0.257761484706152,"FRSonly_poorrec_25_yrfwd-120","FRSonly_poorrec_25_yrfwd",-0.1,0.00179692458269321,-0.100451082598236,0.000501454217230071,0.110054372369443,0.00179692458269304,0.108063266247144
"20","FRSonly_poorrec_25_yrfwd",121,1964.74,1307.79,0.139594,0.04,1131.23835,1.73680462654046,0.286545266988553,3504.53,1312.84,0.139645,0.037,1135.6066,3.08604229668972,0.264957570983565,"FRSonly_poorrec_25_yrfwd-121","FRSonly_poorrec_25_yrfwd",-0.0750000000000001,0.00386147623089333,-0.0753378209030041,0.000365345215410372,0.78371183973452,0.0038614762308933,0.776850573479181
"21","FRSonly_poorrec_25_yrfwd",122,2174.43,1307.79,0.139594,0.023,1131.23835,1.9221678614414,0.164763528518418,1913.54,1298.94,0.139669,0.027,1123.5831,1.70306940358928,0.193314192841647,"FRSonly_poorrec_25_yrfwd-122","FRSonly_poorrec_25_yrfwd",0.173913043478261,-0.00676714151354557,0.173282671110299,0.000537272375603477,-0.119980868549459,-0.00676714151354568,-0.113985080204087
"22","FRSonly_poorrec_25_yrfwd",123,2127.5,1307.79,0.139594,0.039,1131.23835,1.88068235133648,0.279381635313839,3514.14,1302.47,0.139671,0.033,1126.63655,3.1191425486773,0.236269519084133,"FRSonly_poorrec_25_yrfwd-123","FRSonly_poorrec_25_yrfwd",-0.153846153846154,-0.0040679313957133,-0.154312634691525,0.000551599638952919,0.651769682726204,-0.00406793139571333,0.658516413715865
"23","FRSonly_poorrec_25_yrfwd",125,2256.79,1307.79,0.139594,0.031,1131.23835,1.99497303110348,0.222072581916128,2359.31,1306.72,0.139726,0.03,1130.3128,2.08730715957565,0.214705924452142,"FRSonly_poorrec_25_yrfwd-125","FRSonly_poorrec_25_yrfwd",-0.0322580645161291,-0.000818174171694171,-0.0331722961944413,0.000945599381062175,0.045427354782678,-0.000818174171694184,0.0462833968342403
"24","FRSonly_poorrec_25_yrfwd",127,2389.57,1307.79,0.139594,0.031,1131.23835,2.11234882551498,0.222072581916128,2914.95,1310.94,0.13965,0.028,1133.9631,2.57058629156451,0.200501253132832,"FRSonly_poorrec_25_yrfwd-127","FRSonly_poorrec_25_yrfwd",-0.0967741935483871,0.00240864358956721,-0.0971363893604979,0.000401163373783977,0.219863824872257,0.0024086435895672,0.216932667803018
"25","FRSonly_poorrec_25_yrfwd",128,2191.75,1307.79,0.139594,0.033,1131.23835,1.93747851635334,0.236399845265556,2620.3,1302.6,0.139688,0.039,1126.749,2.32554011585544,0.279193631521677,"FRSonly_poorrec_25_yrfwd-128","FRSonly_poorrec_25_yrfwd",0.181818181818182,-0.00396852705709637,0.181022902988999,0.000673381377423175,0.195528687122163,-0.00396852705709636,0.200292078712954
