"Seas","Fleet","Area","Obs","Exp","Nsamp_adj","Nsamp_in","effN","Bin","SuprPer","year","model_run","iteration","scenario"
1,3,1,0.109754,0.15219,45,45,34.6813,1,"No",69,"em","1","opaka-sim"
1,3,1,0.118681,0.173484,45,45,34.6813,2,"No",69,"em","1","opaka-sim"
1,3,1,0.310653,0.308989,45,45,34.6813,3,"No",69,"em","1","opaka-sim"
1,3,1,0.0491751,0.100755,45,45,34.6813,4,"No",69,"em","1","opaka-sim"
1,3,1,0.21395,0.108327,45,45,34.6813,5,"No",69,"em","1","opaka-sim"
1,3,1,0.0750906,0.0371321,45,45,34.6813,6,"No",69,"em","1","opaka-sim"
1,3,1,0.102468,0.0445927,45,45,34.6813,7,"No",69,"em","1","opaka-sim"
1,3,1,0.0119717,0.013106,45,45,34.6813,8,"No",69,"em","1","opaka-sim"
1,3,1,0.000161461,0.0104727,45,45,34.6813,9,"No",69,"em","1","opaka-sim"
1,3,1,6.07946e-06,0.00880556,45,45,34.6813,10,"No",69,"em","1","opaka-sim"
1,3,1,2.01621e-09,0.0062045,45,45,34.6813,11,"No",69,"em","1","opaka-sim"
1,3,1,0.000113811,0.00725091,45,45,34.6813,12,"No",69,"em","1","opaka-sim"
1,3,1,3.64107e-05,0.00419047,45,45,34.6813,13,"No",69,"em","1","opaka-sim"
1,3,1,0.000200776,0.00898623,45,45,34.6813,14,"No",69,"em","1","opaka-sim"
1,3,1,0.00438764,0.00332837,45,45,34.6813,15,"No",69,"em","1","opaka-sim"
1,3,1,2.18913e-08,0.00235467,45,45,34.6813,16,"No",69,"em","1","opaka-sim"
1,3,1,1.13291e-08,0.00183681,45,45,34.6813,17,"No",69,"em","1","opaka-sim"
1,3,1,9.94074e-06,0.00170886,45,45,34.6813,18,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,0.00140831,45,45,34.6813,19,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,0.00102568,45,45,34.6813,20,"No",69,"em","1","opaka-sim"
1,3,1,0.00333919,0.00385171,45,45,34.6813,21,"No",69,"em","1","opaka-sim"
1,3,1,0.209039,0.183344,45,45,126.294,1,"No",70,"em","1","opaka-sim"
1,3,1,0.290935,0.336525,45,45,126.294,2,"No",70,"em","1","opaka-sim"
1,3,1,0.113594,0.12041,45,45,126.294,3,"No",70,"em","1","opaka-sim"
1,3,1,0.201888,0.188541,45,45,126.294,4,"No",70,"em","1","opaka-sim"
1,3,1,0.0657206,0.0384255,45,45,126.294,5,"No",70,"em","1","opaka-sim"
1,3,1,0.0144177,0.038834,45,45,126.294,6,"No",70,"em","1","opaka-sim"
1,3,1,0.0188068,0.0180978,45,45,126.294,7,"No",70,"em","1","opaka-sim"
1,3,1,0.0264625,0.0266729,45,45,126.294,8,"No",70,"em","1","opaka-sim"
1,3,1,0.00025692,0.00842706,45,45,126.294,9,"No",70,"em","1","opaka-sim"
1,3,1,0.0020454,0.00688405,45,45,126.294,10,"No",70,"em","1","opaka-sim"
1,3,1,0.00177651,0.00582927,45,45,126.294,11,"No",70,"em","1","opaka-sim"
1,3,1,5.03834e-05,0.00411775,45,45,126.294,12,"No",70,"em","1","opaka-sim"
1,3,1,2.01615e-09,0.00481707,45,45,126.294,13,"No",70,"em","1","opaka-sim"
1,3,1,0.00102372,0.00278514,45,45,126.294,14,"No",70,"em","1","opaka-sim"
1,3,1,0.0489164,0.00597385,45,45,126.294,15,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,0.00221288,45,45,126.294,16,"No",70,"em","1","opaka-sim"
1,3,1,0.00049631,0.00156561,45,45,126.294,17,"No",70,"em","1","opaka-sim"
1,3,1,0.00400329,0.00122134,45,45,126.294,18,"No",70,"em","1","opaka-sim"
1,3,1,0.000567813,0.00113629,45,45,126.294,19,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,0.000936451,45,45,126.294,20,"No",70,"em","1","opaka-sim"
1,3,1,3.27046e-10,0.00324329,45,45,126.294,21,"No",70,"em","1","opaka-sim"
1,3,1,0.101339,0.143898,45,45,28.4653,1,"No",71,"em","1","opaka-sim"
1,3,1,0.525412,0.395191,45,45,28.4653,2,"No",71,"em","1","opaka-sim"
