"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,82.6659,88.2219,0.13,0.13,1,"em","1","opaka-sim"
1,"Comm",1,1,92.5361,85.61,0.13,0.13,2,"em","1","opaka-sim"
1,"Comm",1,1,72.657,83.2109,0.13,0.13,3,"em","1","opaka-sim"
1,"Comm",1,1,78.5706,82.6955,0.13,0.13,4,"em","1","opaka-sim"
1,"Comm",1,1,91.4407,82.3341,0.13,0.13,5,"em","1","opaka-sim"
1,"Comm",1,1,81.6606,81.2828,0.13,0.13,6,"em","1","opaka-sim"
1,"Comm",1,1,84.4139,79.8917,0.13,0.13,7,"em","1","opaka-sim"
1,"Comm",1,1,78.2902,76.9241,0.13,0.13,8,"em","1","opaka-sim"
1,"Comm",1,1,73.401,73.8469,0.13,0.13,9,"em","1","opaka-sim"
1,"Comm",1,1,79.0623,70.8387,0.13,0.13,10,"em","1","opaka-sim"
1,"Comm",1,1,77.05,67.7611,0.13,0.13,11,"em","1","opaka-sim"
1,"Comm",1,1,52.0899,65.0726,0.13,0.13,12,"em","1","opaka-sim"
1,"Comm",1,1,59.0844,63.3464,0.13,0.13,13,"em","1","opaka-sim"
1,"Comm",1,1,55.5498,62.8999,0.13,0.13,14,"em","1","opaka-sim"
1,"Comm",1,1,68.2672,62.7339,0.13,0.13,15,"em","1","opaka-sim"
1,"Comm",1,1,63.8337,62.2403,0.13,0.13,16,"em","1","opaka-sim"
1,"Comm",1,1,61.7593,61.852,0.13,0.13,17,"em","1","opaka-sim"
1,"Comm",1,1,56.5945,61.6483,0.13,0.13,18,"em","1","opaka-sim"
1,"Comm",1,1,69.3262,61.486,0.13,0.13,19,"em","1","opaka-sim"
1,"Comm",1,1,63.535,60.5261,0.13,0.13,20,"em","1","opaka-sim"
1,"Comm",1,1,63.8577,58.8244,0.13,0.13,21,"em","1","opaka-sim"
1,"Comm",1,1,46.6372,56.873,0.13,0.13,22,"em","1","opaka-sim"
1,"Comm",1,1,56.926,55.4481,0.13,0.13,23,"em","1","opaka-sim"
1,"Comm",1,1,56.1714,54.0636,0.13,0.13,24,"em","1","opaka-sim"
1,"Comm",1,1,54.1095,52.3949,0.13,0.13,25,"em","1","opaka-sim"
1,"Comm",1,1,51.7437,50.4019,0.13,0.13,26,"em","1","opaka-sim"
1,"Comm",1,1,52.0807,48.2609,0.13,0.13,27,"em","1","opaka-sim"
1,"Comm",1,1,39.0906,46.5611,0.13,0.13,28,"em","1","opaka-sim"
1,"Comm",1,1,55.6732,45.3692,0.13,0.13,29,"em","1","opaka-sim"
1,"Comm",1,1,38.6772,44.1533,0.13,0.13,30,"em","1","opaka-sim"
