"Seas","Fleet","Area","Obs","Exp","Nsamp_adj","Nsamp_in","effN","Bin","SuprPer","year","model_run","iteration","scenario"
1,3,1,1e-10,1e-10,45,45,50.6464,5,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,1.02672e-10,45,45,50.6464,10,"No",69,"em","1","opaka-sim"
1,3,1,0.0723493,0.0317689,45,45,50.6464,15,"No",69,"em","1","opaka-sim"
1,3,1,0.18631,0.121534,45,45,50.6464,20,"No",69,"em","1","opaka-sim"
1,3,1,0.0465445,0.101251,45,45,50.6464,25,"No",69,"em","1","opaka-sim"
1,3,1,0.123182,0.107846,45,45,50.6464,30,"No",69,"em","1","opaka-sim"
1,3,1,0.24726,0.229358,45,45,50.6464,35,"No",69,"em","1","opaka-sim"
1,3,1,0.177016,0.131634,45,45,50.6464,40,"No",69,"em","1","opaka-sim"
1,3,1,0.051526,0.117511,45,45,50.6464,45,"No",69,"em","1","opaka-sim"
1,3,1,0.0338903,0.0570814,45,45,50.6464,50,"No",69,"em","1","opaka-sim"
1,3,1,0.0486984,0.0428843,45,45,50.6464,55,"No",69,"em","1","opaka-sim"
1,3,1,0.013118,0.0335744,45,45,50.6464,60,"No",69,"em","1","opaka-sim"
1,3,1,6.30755e-05,0.0199191,45,45,50.6464,65,"No",69,"em","1","opaka-sim"
1,3,1,4.30023e-05,0.00515225,45,45,50.6464,70,"No",69,"em","1","opaka-sim"
1,3,1,3.27513e-10,0.0004756,45,45,50.6464,75,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,1.08056e-05,45,45,50.6464,80,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,3.8813e-08,45,45,50.6464,85,"No",69,"em","1","opaka-sim"
1,3,1,1e-10,1e-10,45,45,43.4989,5,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,1.03219e-10,45,45,43.4989,10,"No",70,"em","1","opaka-sim"
1,3,1,0.0200208,0.0382722,45,45,43.4989,15,"No",70,"em","1","opaka-sim"
1,3,1,0.263167,0.147231,45,45,43.4989,20,"No",70,"em","1","opaka-sim"
1,3,1,0.132153,0.196207,45,45,43.4989,25,"No",70,"em","1","opaka-sim"
1,3,1,0.178788,0.152104,45,45,43.4989,30,"No",70,"em","1","opaka-sim"
1,3,1,0.102013,0.100684,45,45,43.4989,35,"No",70,"em","1","opaka-sim"
1,3,1,0.131159,0.14373,45,45,43.4989,40,"No",70,"em","1","opaka-sim"
1,3,1,0.068052,0.0972892,45,45,43.4989,45,"No",70,"em","1","opaka-sim"
1,3,1,0.0301205,0.0383459,45,45,43.4989,50,"No",70,"em","1","opaka-sim"
1,3,1,0.0281589,0.0353525,45,45,43.4989,55,"No",70,"em","1","opaka-sim"
1,3,1,0.0415953,0.0296179,45,45,43.4989,60,"No",70,"em","1","opaka-sim"
1,3,1,0.00467752,0.0165216,45,45,43.4989,65,"No",70,"em","1","opaka-sim"
1,3,1,9.32488e-05,0.00423768,45,45,43.4989,70,"No",70,"em","1","opaka-sim"
1,3,1,2.41602e-06,0.000399169,45,45,43.4989,75,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,9.21772e-06,45,45,43.4989,80,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,3.30676e-08,45,45,43.4989,85,"No",70,"em","1","opaka-sim"
1,3,1,1e-10,1e-10,45,45,37.2023,5,"No",71,"em","1","opaka-sim"
1,3,1,1e-10,1.02526e-10,45,45,37.2023,10,"No",71,"em","1","opaka-sim"
1,3,1,0.0341272,0.030038,45,45,37.2023,15,"No",71,"em","1","opaka-sim"
1,3,1,0.124602,0.116395,45,45,37.2023,20,"No",71,"em","1","opaka-sim"
1,3,1,0.147969,0.230447,45,45,37.2023,25,"No",71,"em","1","opaka-sim"
1,3,1,0.13002,0.188852,45,45,37.2023,30,"No",71,"em","1","opaka-sim"
1,3,1,0.204389,0.169302,45,45,37.2023,35,"No",71,"em","1","opaka-sim"
1,3,1,0.0857891,0.0934956,45,45,37.2023,40,"No",71,"em","1","opaka-sim"
1,3,1,0.0962142,0.0736723,45,45,37.2023,45,"No",71,"em","1","opaka-sim"
