"Value.SSB","StdDev.SSB","Value.Recr","StdDev.Recr","Value.SPRratio","StdDev.SPRratio","Value.F","StdDev.F","Value.Bratio","StdDev.Bratio","Value.lnSPB","StdDev.lnSPB","year","model_run","iteration","scenario"
3489.87,405.625,277.714,143.073,0.317091,0.0272272,0.0405117,0.0046664,NA,NA,8.15762,0.116229,"1","em","1","opaka-sim"
3392.48,405.631,281.796,144.569,0.351401,0.0298066,0.0465519,0.00552239,0.84522,0.0160236,NA,NA,"2","em","1","opaka-sim"
3281.59,405.727,253.615,126.337,0.335435,0.030019,0.0435398,0.00538189,0.817593,0.0188131,NA,NA,"3","em","1","opaka-sim"
3194.99,407.332,239.85,116.874,0.171182,0.0191003,0.0188361,0.00243302,0.796017,0.0215815,NA,NA,"4","em","1","opaka-sim"
3222.56,429.542,226.859,108.091,0.354102,0.0336508,0.0470554,0.00620288,0.802887,0.0348634,NA,NA,"5","em","1","opaka-sim"
3165.33,450.422,218.457,102.525,0.254294,0.0284248,0.0304437,0.00419236,0.788627,0.0464027,NA,NA,"6","em","1","opaka-sim"
3155.12,461.045,213.544,99.3817,0.375808,0.0373318,0.051391,0.00719969,0.786084,0.0521798,NA,NA,"7","em","1","opaka-sim"
3065.1,462.714,202.379,93.2036,0.437123,0.0412449,0.0644281,0.00929063,0.763655,0.0555499,NA,NA,"8","em","1","opaka-sim"
2928.08,457.978,198.754,91.6568,0.39198,0.0405116,0.0546145,0.00814738,0.729518,0.0573143,NA,NA,"9","em","1","opaka-sim"
2824.93,449.159,234.255,113.174,0.442833,0.0434275,0.0656971,0.00998004,0.703819,0.0572991,NA,NA,"10","em","1","opaka-sim"
2692.5,438.363,270.464,136.798,0.411413,0.0431399,0.058548,0.00912176,0.670823,0.0570438,NA,NA,"11","em","1","opaka-sim"
2585.13,427.93,308.878,161.928,0.435813,0.0449162,0.0636132,0.0100216,0.644073,0.0565839,NA,NA,"12","em","1","opaka-sim"
2473.7,418.598,282.798,147.246,0.398855,0.0437112,0.0552488,0.00875327,0.61631,0.0564456,NA,NA,"13","em","1","opaka-sim"
2421.74,410.952,268.778,137.888,0.407466,0.0437515,0.0568857,0.00889256,0.603366,0.0558614,NA,NA,"14","em","1","opaka-sim"
2408.72,405.039,268.412,136.722,0.483958,0.0457396,0.0748815,0.0115111,0.600122,0.0552347,NA,NA,"15","em","1","opaka-sim"
2389.15,398.948,277.405,140.928,0.469206,0.0452521,0.0713865,0.0109759,0.595246,0.0545279,NA,NA,"16","em","1","opaka-sim"
2381.42,395.331,245.096,120.522,0.475911,0.0452736,0.0731692,0.0111805,0.59332,0.0541382,NA,NA,"17","em","1","opaka-sim"
2366.08,392.192,229.825,110.727,0.45874,0.0444927,0.0689933,0.0104692,0.589498,0.0537756,NA,NA,"18","em","1","opaka-sim"
2364.3,387.646,224.912,107.43,0.47872,0.044394,0.0742061,0.0111397,0.589055,0.0527382,NA,NA,"19","em","1","opaka-sim"
2353.62,380.299,261.576,128.135,0.504538,0.0447644,0.0812209,0.0121634,0.586394,0.0509946,NA,NA,"20","em","1","opaka-sim"
2306.62,374.022,257.847,125.627,0.53064,0.0455093,0.0886176,0.0133218,0.574682,0.050185,NA,NA,"21","em","1","opaka-sim"
2229.3,367.991,237.919,113.62,0.539531,0.0462176,0.0908924,0.0137191,0.55542,0.0499416,NA,NA,"22","em","1","opaka-sim"
2148.67,361.023,223.368,104.747,0.539682,0.046166,0.0908295,0.0136776,0.535332,0.0495848,NA,NA,"23","em","1","opaka-sim"
2097.3,349.613,213.916,98.9278,0.561144,0.0457208,0.097806,0.014617,0.522533,0.0477812,NA,NA,"24","em","1","opaka-sim"
