"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_RecrDev_1","Early_RecrDev_2","Early_RecrDev_3","Early_RecrDev_4","Early_RecrDev_5","Early_RecrDev_6","Early_RecrDev_7","Early_RecrDev_8","Early_RecrDev_9","Early_RecrDev_10","Early_RecrDev_11","Early_RecrDev_12","Early_RecrDev_13","Early_RecrDev_14","Early_RecrDev_15","Early_RecrDev_16","Early_RecrDev_17","Early_RecrDev_18","Early_RecrDev_19","Early_RecrDev_20","Early_RecrDev_21","Early_RecrDev_22","Early_RecrDev_23","Early_RecrDev_24","Early_RecrDev_25","Early_RecrDev_26","Early_RecrDev_27","Early_RecrDev_28","Early_RecrDev_29","Early_RecrDev_30","Early_RecrDev_31","Early_RecrDev_32","Early_RecrDev_33","Early_RecrDev_34","Early_RecrDev_35","Early_RecrDev_36","Early_RecrDev_37","Early_RecrDev_38","Early_RecrDev_39","Early_RecrDev_40","Early_RecrDev_41","Early_RecrDev_42","Early_RecrDev_43","Early_RecrDev_44","Early_RecrDev_45","Early_RecrDev_46","Early_RecrDev_47","InitF_seas_1_flt_1Comm","LnQ_base_Comm_1","LnQ_base_ResFish_3","Size_inflection_Comm_1","Size_95.width_Comm_1","Size_inflection_Non_comm_2","Size_95.width_Non_comm_2","Size_DblN_peak_ResFish_3","Size_DblN_top_logit_ResFish_3","Size_DblN_ascend_se_ResFish_3","Size_DblN_descend_se_ResFish_3","Size_DblN_start_logit_ResFish_3","Size_DblN_end_logit_ResFish_3","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_3_ResFish","Curr_Var_Adj_agecomp_flt_3_ResFish","version","RunTime","model_run","hessian","Niterations","iteration","scenario"
4013.72,4271.08,4270.14,247.466,1163.98,0.346053,0.131909,181.202,1399.07,0.11022,178.344,1143.02,0.341242,0.134064,181.223,181.223,3.04654e-05,0.677399021356746,"0.529929244781874","41.4","65.1","74.3","74.5","0.9112",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.51127,0.76,0.52,0,0,0.127096,0.144259,0.0420006,-0.0112345,-0.0677521,-0.10375,-0.12618,-0.176995,-0.19036,-0.0221855,0.126867,0.26437,0.181432,0.133203,0.132513,0.166489,0.0430707,-0.0204435,-0.0419594,0.109632,0.0978704,0.0219271,-0.0361817,-0.0760407,-0.111743,-0.00603769,-0.110561,-0.0126825,0.0420174,0.139688,0.111366,0.284983,0.0849129,0.266552,0.350632,0.382727,0.477413,0.293427,-0.0104173,0.00107842,0.0896353,0.108784,0.0441139,0.0516305,-0.137009,-0.282088,-0.356109,0.0141934,-3.69379,-6.01063,36.0078,3.45325,40,11,20.5664,-0.800423,-0.338084,3.26716,-999,-1.56119,75.0512,74.4032,-52.9769,1.41361e-08,7.46985e-06,-123.136,32.0835,39.8379,-1.76231,0,0,0,0.000278127,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",6.98333333333333,"em",TRUE,683,"1","opaka-sim"
3146.51,3348.26,3347.52,193.998,912.488,0.346053,0.131891,142.031,1096.78,0.110205,139.791,896.054,0.341242,0.134046,142.048,142.048,NA,0.596162097053561,NA,"1","1","75","75","0",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.26785,0.76,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187843,-3.37779,-5.64254,36.0078,3.45325,40,11,20.5078,-0.984332,-0.338084,4.03929,-999,-1.78602,75.805,74.5759,55885000,55752700,73509.5,58354.5,299.227,122.176,30.6374,1.08746e-30,0,0,0.000319813,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,"1","opaka-sim"
3456.46,3678.08,3677.27,213.108,1002.37,0.346053,0.13188,156.009,1204.82,0.110197,153.549,984.319,0.341242,0.134035,156.028,156.028,7.88394e-05,0.474844204764412,"0.447264650572761","41.4","65.1","74.3","74.5","0.9112",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.3618,0.76,0.52,0,0,0.0452055,0.20053,0.273543,0.29141,0.220353,0.191421,0.272528,0.229045,0.361235,0.152395,0.142642,0.479698,0.357882,0.301893,0.223943,0.179309,0.238602,0.340284,0.318305,0.237049,0.266164,0.142912,0.0304672,-0.157734,-0.250596,-0.198026,0.178567,0.810915,0.299773,0.327256,-0.0607839,-0.255025,-0.325713,-0.315091,-0.188498,-0.200492,0.0913544,0.342361,0.453063,-0.00657198,-0.199731,-0.194804,-0.0559704,0.345421,0.654527,0.639567,0.139649,0.0166612,-3.42161,-5.85533,36.0078,3.45325,40,11,20.6713,-0.831188,-0.338084,3.25856,-999,-1.44011,61.3334,59.2195,-27.6996,2.53304e-08,2.78481e-05,-122.472,40.0981,55.0559,-0.381394,0,0,0,0.000273414,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",7.41666666666667,"em",TRUE,680,"2","opaka-sim"
3146.51,3348.26,3347.52,193.998,912.488,0.346053,0.131891,142.031,1096.78,0.110205,139.791,896.054,0.341242,0.134046,142.048,142.048,NA,0.446154628461375,NA,"1","1","75","75","0",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.26785,0.76,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187843,-3.37779,-5.64254,36.0078,3.45325,40,11,20.5078,-0.984332,-0.338084,4.03929,-999,-1.78602,61.5913,59.1777,56434100,56300700,73509.5,59441.9,290.958,119.087,43.8644,1.08746e-30,0,0,0.000319813,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,"2","opaka-sim"
3293.04,3504.18,3503.41,203.033,954.981,0.346053,0.131883,148.637,1147.86,0.110199,146.293,937.782,0.341242,0.134038,148.654,148.654,6.08266e-05,0.444100284235843,"0.488993499228214","41.4","65.1","74.3","74.5","0.9112",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.31337,0.76,0.52,0,0,-0.514754,-0.516641,-0.469675,-0.341889,-0.257427,-0.103626,-0.101424,-0.0517568,-0.0397341,-0.0294274,0.0437965,0.107896,0.0946221,0.0966538,0.0272092,-0.200335,-0.25776,-0.283579,-0.302805,-0.308493,-0.0465474,0.0538384,-0.103774,-0.0632597,0.232099,0.248829,0.177171,0.153987,0.075714,0.224535,0.338568,0.441474,0.620792,0.478967,0.0962139,0.0616179,0.0266686,-0.0326744,0.166847,0.273839,-0.0812236,-0.14437,-0.0966069,0.0424478,-0.152505,-0.16142,0.126564,0.0176815,-3.31976,-5.86751,36.0078,3.45325,40,11,20.4683,-0.786233,-0.338084,2.94807,-999,-1.40095,64.5958,62.7173,-56.3675,4.57283e-08,9.76709e-05,-125.775,34.4069,38.261,-3.26062,0,0,0,0.000277792,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",7.48333333333333,"em",TRUE,683,"3","opaka-sim"
3146.51,3348.26,3347.52,193.998,912.488,0.346053,0.131891,142.031,1096.78,0.110206,139.791,896.054,0.341242,0.134046,142.048,142.048,NA,0.483681920604098,NA,"1","1","75","75","0",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.26785,0.76,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187843,-3.37779,-5.64254,36.0078,3.45325,40,11,20.5078,-0.984332,-0.338084,4.03929,-999,-1.78602,64.2557,62.9394,53138300,53010200,73509.5,54132,292.658,112.798,28.0515,1.08746e-30,0,0,0.000319813,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,"3","opaka-sim"
3791.42,4034.52,4033.63,233.76,1099.51,0.346053,0.131888,171.138,1321.58,0.110203,168.439,1079.71,0.341242,0.134043,171.158,171.158,0.000118576,0.521931097055984,"0.65121248963992","41.4","65.1","74.3","74.5","0.9112",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.4543,0.76,0.52,0,0,-0.157578,0.048101,0.205093,0.347553,0.513272,0.768094,0.401754,0.176974,0.0152625,-0.0856151,-0.167071,-0.240181,-0.304352,-0.33525,-0.418781,-0.43421,-0.372258,-0.294646,-0.127301,0.30614,0.222471,0.0389187,-0.0371907,-0.0142751,-0.199773,-0.237451,-0.279663,-0.239001,-0.0604611,0.194751,0.395384,0.0210942,-0.086406,-0.171917,-0.0992991,-0.12026,-0.0862592,0.00566977,-0.162617,-0.260415,-0.347514,-0.323989,-0.0875032,0.144733,0.279583,0.00865077,0.200668,0.0152656,-3.53767,-5.63813,36.0078,3.45325,40,11,20.6354,-0.780815,-0.338084,3.20805,-999,-2.08712,75.9751,74.1058,-51.9362,2.18891e-08,0.000721448,-122.643,31.442,33.3057,5.95798,0,0,0,0.000269434,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",7.35,"em",TRUE,766,"4","opaka-sim"
3146.51,3348.26,3347.52,193.998,912.488,0.346053,0.131891,142.031,1096.78,0.110205,139.791,896.054,0.341242,0.134046,142.048,142.048,NA,0.556829630288796,NA,"1","1","75","75","0",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.26785,0.76,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187843,-3.37779,-5.64254,36.0078,3.45325,40,11,20.5078,-0.984332,-0.338084,4.03929,-999,-1.78602,76.312,73.7213,55663900,55532700,73509.5,57250.2,297.625,125.1,47.4931,1.08746e-30,0,0,0.000319813,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0,"om",FALSE,2,"4","opaka-sim"
3889.18,4138.54,4137.63,239.787,1127.86,0.346053,0.131881,175.541,1355.66,0.110197,172.773,1107.55,0.341242,0.134036,175.562,175.562,4.89089e-05,0.628415244344566,"0.713382080133537","41.4","65.1","74.3","74.5","0.9112",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.47975,0.76,0.52,0,0,-0.135581,-0.0139439,0.0746409,0.0426821,0.00808359,-0.0405792,-0.071532,0.0338722,0.00772735,-0.075003,-0.169877,-0.166531,-0.157602,-0.221647,-0.234463,-0.226375,-0.192721,-0.362033,-0.304375,-0.210199,-0.0419825,0.538021,0.284919,-0.0648382,-0.255569,-0.376887,-0.327304,-0.312282,-0.331318,-0.48577,-0.434892,-0.302466,-0.209809,-0.254201,-0.234128,-0.179101,-0.111448,-0.0215199,-0.0352027,0.167203,0.617914,0.527985,0.115327,-0.0275859,-0.073789,-0.0347944,0.221415,0.0146291,-3.67363,-5.47883,36.0078,3.45325,40,11,20.4402,-1.56693,-0.338084,5.21492,-999,-3.26017,93.3286,91.6206,-63.6346,2.09553e-08,0.000451347,-128.782,28.64,30.8522,5.65434,0,0,0,0.00045305,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",7.11666666666667,"em",TRUE,730,"5","opaka-sim"
3146.51,3348.26,3347.52,193.998,912.488,0.346053,0.131891,142.031,1096.78,0.110205,139.791,896.054,0.341242,0.134046,142.048,142.048,NA,0.659613349393455,NA,"1","1","75","75","0",NA,NA,NA,0.135,6,67.5,0.242,0.085,0.085,1.75e-05,2.99,40.7,-2.26,1,0,1,0.5,5.26785,0.76,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187843,-3.37779,-5.64254,36.0078,3.45325,40,11,20.5078,-0.984332,-0.338084,4.03929,-999,-1.78602,93.5841,91.5051,54375600,54246500,73509.5,55108.3,306.749,137.876,36.377,1.08746e-30,0,0,0.000319813,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,"5","opaka-sim"
