"year","Area","Seas","Bio_smry","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","deadB_1","deadN_1","deadB_2","deadN_2","F_1","F_2","SPRratio","rec_dev","raw_rec_dev","model_run","iteration","scenario"
1,1,1,3745.62,3489.87,277.714,55.5427,17.5604,96.1986,28.9005,55.5427,17.5604,96.1986,28.9005,0.0156624,0.0282077,0.317091,0.127096,0.127096,"em","1","opaka-sim"
2,1,1,3650.48,3392.48,281.796,62.8827,19.9553,107.054,32.2723,62.8827,19.9553,107.054,32.2723,0.0182732,0.032367,0.351401,0.144259,0.144259,"em","1","opaka-sim"
3,1,1,3549.89,3281.59,253.615,56.4576,18.0807,98.1036,29.8051,56.4576,18.0807,98.1036,29.8051,0.0168791,0.0305532,0.335435,0.0420006,0.0420006,"em","1","opaka-sim"
4,1,1,3477.28,3194.99,239.85,23.8965,7.77675,41.6019,12.7879,23.8965,7.77675,41.6019,12.7879,0.00718884,0.013078,0.171182,-0.0112345,-0.0112345,"em","1","opaka-sim"
5,1,1,3499.1,3222.56,226.859,60.9316,19.9999,103.72,32.1409,60.9316,19.9999,103.72,32.1409,0.0184107,0.0327941,0.354102,-0.0677521,-0.0677521,"em","1","opaka-sim"
6,1,1,3420.55,3165.33,218.457,38.7484,12.6977,65.386,20.2903,38.7484,12.6977,65.386,20.2903,0.0118594,0.0209134,0.254294,-0.10375,-0.10375,"em","1","opaka-sim"
7,1,1,3396.63,3155.12,213.544,64.4333,20.9853,110.123,34.0365,64.4333,20.9853,110.123,34.0365,0.0200639,0.0357767,0.375808,-0.12618,-0.12618,"em","1","opaka-sim"
8,1,1,3294.84,3065.1,202.379,78.4361,25.398,133.844,41.1738,78.4361,25.398,133.844,41.1738,0.0253665,0.0451086,0.437123,-0.176995,-0.176995,"em","1","opaka-sim"
9,1,1,3149.21,2928.08,198.754,63.4192,20.4725,108.573,33.2908,63.4192,20.4725,108.573,33.2908,0.0213646,0.0381035,0.39198,-0.19036,-0.19036,"em","1","opaka-sim"
10,1,1,3039.08,2824.93,234.255,73.8281,23.7992,125.831,38.5092,73.8281,23.7992,125.831,38.5092,0.0259273,0.0460407,0.442833,-0.0221855,-0.0221855,"em","1","opaka-sim"
11,1,1,2902.8,2692.5,270.464,62.4673,20.1299,107.486,32.9043,62.4673,20.1299,107.486,32.9043,0.0229339,0.0411127,0.411413,0.126867,0.126867,"em","1","opaka-sim"
12,1,1,2808.9,2585.13,308.878,65.065,21.1299,113.618,35.0243,65.065,21.1299,113.618,35.0243,0.0248746,0.0452966,0.435813,0.26437,0.26437,"em","1","opaka-sim"
13,1,1,2731.55,2473.7,282.798,55.8734,18.6212,95.0413,29.8883,55.8734,18.6212,95.0413,29.8883,0.0219427,0.0391145,0.398855,0.181432,0.181432,"em","1","opaka-sim"
14,1,1,2710.99,2421.74,268.778,56.9243,19.6672,97.2921,31.5077,56.9243,19.6672,97.2921,31.5077,0.0225141,0.0405917,0.407466,0.133203,0.133203,"em","1","opaka-sim"
15,1,1,2709.76,2408.72,268.412,74.306,26.4879,128.605,42.8033,74.306,26.4879,128.605,42.8033,0.0294665,0.0541198,0.483958,0.132513,0.132513,"em","1","opaka-sim"
16,1,1,2673.84,2389.15,277.405,70.8772,25.5491,119.999,40.5446,70.8772,25.5491,119.999,40.5446,0.0283297,0.050902,0.469206,0.166489,0.166489,"em","1","opaka-sim"
17,1,1,2658.23,2381.42,245.096,72.0808,26.0379,122.42,41.5818,72.0808,26.0379,122.42,41.5818,0.0289916,0.0521791,0.475911,0.0430707,0.0430707,"em","1","opaka-sim"
18,1,1,2641.26,2366.08,229.825,68.0345,24.629,114.195,38.8716,68.0345,24.629,114.195,38.8716,0.0274546,0.0488158,0.45874,-0.0204435,-0.0204435,"em","1","opaka-sim"
